RegionName,State_x,2008-01,2016-12,HouseValueChange,County,State_y,Abbreviation,Total,White,Black,Asian,Others,White %,Black %,Asian %,Others %,HouseValueChange %
Benton,MN,156100.0,165500,9400.0,Benton,Minnesota,MN,15,-147,373,16,-227,-9.8,24.86666666666667,1.0666666666666669,-15.133333333333333,0.06021780909673286
Knox,IN,73700.0,69500,-4200.0,Knox,Indiana,IN,-70,-465,332,-38,101,6.642857142857142,-4.742857142857143,0.5428571428571428,-1.4428571428571428,-0.05698778833107191
Cooke,TX,101900.0,122800,20900.0,Cooke,Texas,TX,523,4077,-103,43,-3494,7.795411089866158,-0.19694072657743786,0.08221797323135756,-6.680688336520077,0.20510304219823355
Douglas,WA,244200.0,280800,36600.0,Douglas,Washington,WA,4158,1054,-106,34,3176,0.2534872534872535,-0.02549302549302549,0.008177008177008177,0.7638287638287639,0.14987714987714987
Fayette,TN,163100.0,183500,20400.0,Fayette,Tennessee,TN,2058,1182,72,178,626,0.5743440233236151,0.03498542274052478,0.08649173955296405,0.304178814382896,0.12507664009809932
Montgomery,IN,102000.0,98300,-3700.0,Montgomery,Indiana,IN,381,71,105,-1,206,0.18635170603674545,0.2755905511811024,-0.0026246719160104987,0.5406824146981627,-0.03627450980392157
Brown,TX,68100.0,79100,11000.0,Brown,Texas,TX,-438,167,-48,147,-704,-0.3812785388127854,0.1095890410958904,-0.3356164383561644,1.6073059360730593,0.16152716593245228
Amador,CA,314300.0,267700,-46600.0,Amador,California,CA,-1380,-760,211,84,-915,0.5507246376811594,-0.15289855072463768,-0.060869565217391314,0.6630434782608695,-0.14826598790964046
Caldwell,TX,102800.0,125000,22200.0,Caldwell,Texas,TX,3280,7448,-70,-60,-4038,2.2707317073170734,-0.021341463414634148,-0.018292682926829267,-1.23109756097561,0.21595330739299612
Putnam,IN,118400.0,121100,2700.0,Putnam,Indiana,IN,568,546,-108,199,-69,0.9612676056338028,-0.19014084507042253,0.3503521126760563,-0.12147887323943662,0.022804054054054054
Erath,TX,105200.0,121800,16600.0,Erath,Texas,TX,5058,6840,212,65,-2059,1.3523131672597866,0.041913799920917365,0.012850929221035985,-0.4070778964017398,0.15779467680608364
Isanti,MN,180200.0,166700,-13500.0,Isanti,Minnesota,MN,-206,-413,9,18,180,2.004854368932039,-0.043689320388349516,-0.08737864077669902,-0.8737864077669902,-0.07491675915649279
Talbot,MD,329400.0,282600,-46800.0,Talbot,Maryland,MD,1541,1181,-692,247,805,0.7663854639844258,-0.4490590525632706,0.16028552887735234,0.5223880597014925,-0.14207650273224043
Clinton,IL,104200.0,107800,3600.0,Clinton,Illinois,IL,1388,1200,-112,82,218,0.8645533141210374,-0.08069164265129683,0.0590778097982709,0.15706051873198848,0.0345489443378119
Oconto,WI,122800.0,129500,6700.0,Oconto,Wisconsin,WI,39,-199,14,44,180,-5.102564102564102,0.35897435897435903,1.1282051282051282,4.615384615384615,0.05456026058631922
